Abbeville,South Carolina,34.22333378,-82.46170658,24527
Acadia,Louisiana,30.295064899999996,-92.41419698,62045
Accomack,Virginia,37.76707161,-75.63234615,32316
Ada,Idaho,43.4526575,-116.24155159999998,481587
Adair,Iowa,41.33075609,-94.47105874,7152
Adair,Kentucky,37.10459774,-85.28129668,19202
Adair,Missouri,40.19058551,-92.60078167,25343
Adair,Oklahoma,35.88494195,-94.65859267,22194
Adams,Colorado,39.87432092,-104.3362578,517421
Adams,Idaho,44.89333571,-116.4545247,4294
Adams,Illinois,39.98815591,-91.18786813,65435
Adams,Indiana,40.7457653,-84.93671406,35777
Adams,Iowa,41.02903567,-94.69932645,3602
Adams,Mississippi,31.47669768,-91.35326037,30693
Adams,Nebraska,40.52449420000001,-98.50117804,31363
Adams,North Dakota,46.09686891,-102.5285397,2216
Adams,Ohio,38.84541072,-83.4718964,27698
Adams,Pennsylvania,39.87140411,-77.21610347,103009
Adams,Washington,46.98299757,-118.56017340000001,19983
Adams,Wisconsin,43.96974651,-89.76782777,20220
Addison,Vermont,44.03217337,-73.14130877,36777
Aiken,South Carolina,33.54338026,-81.63645384,170872
Aitkin,Minnesota,46.60962049,-93.41168259999999,15886
Alachua,Florida,29.67866525,-82.35928158,269043
Alamance,North Carolina,36.0434701,-79.39976137,169509
Alameda,California,37.64629437,-121.8929271,1671329
Alamosa,Colorado,37.57250606,-105.7885451,16233
Albany,New York,42.60060306,-73.97723916,305506
Albany,Wyoming,41.65498705,-105.72354150000001,38880
Albemarle,Virginia,38.02080697,-78.55481085,109330
Alcona,Michigan,44.6846864,-83.59507875,10405
Alcorn,Mississippi,34.88084463,-88.57996173,36953
Aleutians East,Alaska,55.32222414,-161.9722021,3337
Aleutians West,Alaska,52.72541116,-110.4086433,5634
Alexander,Illinois,37.18049267,-89.32910838,5761
Alexander,North Carolina,35.922379600000006,-81.17751948,37497
Alexandria,Virginia,38.814003,-77.08183073,159428
Alfalfa,Oklahoma,36.73090616,-98.32408495,5702
Alger,Michigan,46.41292944,-86.60260122,9108
Allamakee,Iowa,43.28383218,-91.37860922,13687
Allegan,Michigan,42.59147037,-85.89102866,118081
Allegany,Maryland,39.62357628,-78.69280486,70416
Allegany,New York,42.25748406,-78.02750466,46091
Alleghany,North Carolina,36.49360862,-81.12857041,11137
Alleghany,Virginia,37.78636074,-80.00222498,14860
Allegheny,Pennsylvania,40.46809875,-79.98167747,1216045
Allen,Indiana,41.09194313,-85.06800636,379299
Allen,Kansas,37.88582951,-95.30030847,12369
Allen,Kentucky,36.75197631,-86.19457544,21315
Allen,Louisiana,30.65385745,-92.82442028,25627
Allen,Ohio,40.77285242,-84.10802343,102351
Allendale,South Carolina,32.98837386,-81.35321066,8688
Alpena,Michigan,45.03477666,-83.62212411,28405
Alpine,California,38.59678594,-119.82235940000001,1129
Amador,California,38.44583082,-120.65696000000001,39752
Amelia,Virginia,37.34081025,-77.98584649,13145
Amherst,Virginia,37.60308293,-79.14548696,31605
Amite,Mississippi,31.17467303,-90.80501621,12297
Anchorage,Alaska,61.14998174,-149.14269860000002,288000
Anderson,Kansas,38.21413251,-95.29272815,7858
Anderson,Kentucky,38.00671029,-84.99171713,22747
