,Afghanistan,33.0,65.0
,Albania,41.1533,20.1683
,Algeria,28.0339,1.6596
,Andorra,42.5063,1.5218
,Angola,-11.2027,17.8739
,Antigua and Barbuda,17.0608,-61.7964
,Argentina,-38.4161,-63.6167
,Armenia,40.0691,45.0382
Australian Capital Territory,Australia,-35.4735,149.0124
New South Wales,Australia,-33.8688,151.2093
Northern Territory,Australia,-12.4634,130.8456
Queensland,Australia,-28.0167,153.4
South Australia,Australia,-34.9285,138.6007
Tasmania,Australia,-41.4545,145.9707
Victoria,Australia,-37.8136,144.9631
Western Australia,Australia,-31.9505,115.8605
,Austria,47.5162,14.5501
,Azerbaijan,40.1431,47.5769
,Bahamas,25.0343,-77.3963
,Bahrain,26.0275,50.55
,Bangladesh,23.685,90.3563
,Barbados,13.1939,-59.5432
,Belarus,53.7098,27.9534
,Belgium,50.8333,4.0
,Benin,9.3077,2.3158
,Bhutan,27.5142,90.4336
,Bolivia,-16.2902,-63.5887
,Bosnia and Herzegovina,43.9159,17.6791
,Brazil,-14.235,-51.9253
,Brunei,4.5353,114.7277
,Bulgaria,42.7339,25.4858
,Burkina Faso,12.2383,-1.5616
,Cabo Verde,16.5388,-23.0418
,Cambodia,11.55,104.9167
,Cameroon,3.848,11.5021
Alberta,Canada,53.9333,-116.5765
British Columbia,Canada,49.2827,-123.1207
Grand Princess,Canada,37.6489,-122.6655
Manitoba,Canada,53.7609,-98.8139
New Brunswick,Canada,46.5653,-66.4619
Newfoundland and Labrador,Canada,53.1355,-57.6604
Nova Scotia,Canada,44.682,-63.7443
Ontario,Canada,51.2538,-85.3232
Prince Edward Island,Canada,46.5107,-63.4168
Quebec,Canada,52.9399,-73.5491
Saskatchewan,Canada,52.9399,-106.4509
,Central African Republic,6.6111,20.9394
,Chad,15.4542,18.7322
,Chile,-35.6751,-71.543
Anhui,China,31.8257,117.2264
Beijing,China,40.1824,116.4142
Chongqing,China,30.0572,107.874
Fujian,China,26.0789,117.9874
Gansu,China,37.8099,101.0583
Guangdong,China,23.3417,113.4244
Guangxi,China,23.8298,108.7881
Guizhou,China,26.8154,106.8748
Hainan,China,19.1959,109.7453
Hebei,China,39.549,116.1306
Heilongjiang,China,47.862,127.7615
Henan,China,33.882,113.614
Hong Kong,China,22.3,114.2
Hubei,China,30.9756,112.2707
Hunan,China,27.6104,111.7088
Inner Mongolia,China,44.0935,113.9448
Jiangsu,China,32.9711,119.455
Jiangxi,China,27.614,115.7221
Jilin,China,43.6661,126.1923
Liaoning,China,41.2956,122.6085
Macau,China,22.1667,113.55
Ningxia,China,37.2692,106.1655
Qinghai,China,35.7452,95.9956
Shaanxi,China,35.1917,108.8701
Shandong,China,36.3427,118.1498
Shanghai,China,31.202,121.4491
Shanxi,China,37.5777,112.2922
Sichuan,China,30.6171,102.7103
Tianjin,China,39.3054,117.323
Tibet,China,31.6927,88.0924
Xinjiang,China,41.1129,85.2401
Yunnan,China,24.974,101.487
Zhejiang,China,29.1832,120.0934
,Colombia,4.5709,-74.2973
,Congo (Brazzaville),-4.0383,21.7587
